74852833.0,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
,MONTO ,335.9,0.0,0.0,0.0,63.6,987.3,1386.8,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,1.0,0.0,0.0
2026-02-24 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,3.0,5.0,10,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,154.3,0.0,0.0,331.0,522.7,2908.64,3916.64,,,MONTO TOTAL,458.0,0.0,0.0,,,MONTO TOTAL,119.6,0.0,0.0
2026-02-25 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,0.0,7.0,8,,46066,CANT. CONTACTOS ,13.0,2.0,0.0,,46080,CANT. CONTACTOS ,30.0,0.0,0.0
,MONTO ,154.3,0.0,0.0,0.0,0.0,2511.19,2665.49,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-02-26 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,1.0,4.0,6,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,119.6,0.0,0.0,0.0,154.3,1070.2,1344.1,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-02-27 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,5.0,5,,46067,CANT. CONTACTOS ,8.0,1.0,0.0,,46081,CANT. CONTACTOS ,15.0,1.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1344.7,1344.7,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,2.0,0.0,0.0
2026-02-28 00:00:00,CANTIDAD ,2.0,0.0,0.0,1.0,0.0,6.0,9,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,,0.0,0.0
,MONTO ,275.2,0.0,0.0,510.0,0.0,1380.4,2165.6,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,275.2,0.0,0.0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
