,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-07-26 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,4.0,4,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,1690.4,1690.4,,,MONTO TOTAL,677.6,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-07-27 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,2.0,2,,46217,CANT. CONTACTOS ,14.0,5.0,0.0,,46232,CANT. CONTACTOS ,9.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,867.3,867.3,,,CANT. VENTAS ,1.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-07-28 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,0.0,0,,,TASA DE VENTA ,,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,0.0,0,,,MONTO TOTAL,1085.6,0.0,0.0,,,MONTO TOTAL,399.0,0.0,0.0
2026-07-29 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,0.0,0.0,1,,46218,CANT. CONTACTOS ,15.0,2.0,1.0,,46233,CANT. CONTACTOS ,25.0,4.0,0.0
,MONTO ,399.0,0.0,0.0,0.0,0.0,0.0,399,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-07-30 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,3.0,4,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,199.0,857.9,1056.9,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-07-31 00:00:00,CANTIDAD ,1.0,0.0,0.0,1.0,3.0,1.0,6,,,,,,,,46234,CANT. CONTACTOS ,13.0,1.0,0.0
,MONTO ,209.4,0.0,0.0,265.0,1667.4,179.0,2320.8,,,,,,,,,CANT. VENTAS ,1.0,0.0,0.0
,,,,,,,,,,,,,,,,,TASA DE VENTA ,,0.0,0.0
,,,,,,,,,,,,,,,,,MONTO TOTAL,209.4,0.0,0.0
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
