,,VENTAS DIARIAS ,,,,,,,,INTERACCIONES POR REDES ,,,,,,,,,,
FECHA,CANT/MONTO,WHATSAPP ,INSTAGRAM,FACEBOOK ,SHOWROOM ,WEB ,TIENDA,TOTAL ,,,,WHATSAPP,INTAGRAM ,FACEBOOK ,,,,WHATSAPP,INTAGRAM ,FACEBOOK 
2026-03-26 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,3.0,13.0,17,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,157.4,0.0,0.0,0.0,1615.0,3129.2,4901.6,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-03-27 00:00:00,CANTIDAD ,1.0,0.0,0.0,0.0,1.0,9.0,11,,46095,CANT. CONTACTOS ,8.0,1.0,0.0,,46110,CANT. CONTACTOS ,5.0,0.0,0.0
,MONTO ,127.6,0.0,0.0,0.0,354.8,1337.0,1819.4,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-03-28 00:00:00,CANTIDAD ,0.0,0.0,0.0,3.0,1.0,11.0,15,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,791.7,131.6,3361.0,4284.3,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-03-29 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,1.0,2.0,3,,46096,CANT. CONTACTOS ,16.0,1.0,0.0,,46111,CANT. CONTACTOS ,10.0,3.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,179.4,354.7,534.1,,,CANT. VENTAS ,0.0,0.0,0.0,,,CANT. VENTAS ,0.0,0.0,0.0
2026-03-30 00:00:00,CANTIDAD ,0.0,0.0,0.0,0.0,0.0,7.0,7,,,TASA DE VENTA ,0.0,0.0,0.0,,,TASA DE VENTA ,0.0,0.0,0.0
,MONTO ,0.0,0.0,0.0,0.0,0.0,2701.8,2701.8,,,MONTO TOTAL,0.0,0.0,0.0,,,MONTO TOTAL,0.0,0.0,0.0
2026-03-31 00:00:00,CANTIDAD ,1.0,1.0,0.0,0.0,0.0,,2,,,,,,,,46112,CANT. CONTACTOS ,7.0,1.0,0.0
,MONTO ,525.6,130.4,0.0,0.0,0.0,,656,,,,,,,,,CANT. VENTAS ,1.0,1.0,0.0
,,,,,,,,,,,,,,,,,TASA DE VENTA ,,,0.0
,,,,,,,,,,,,,,,,,MONTO TOTAL,525.6,130.4,0.0
